masses    LO_data
1.40000e+02 6.86161e+01
2.20000e+02 1.29143e+01
3.20000e+02 3.09170e+00
1.40000e+02 6.89215e+01
2.20000e+02 1.30349e+01
3.20000e+02 3.02523e+00
1.40000e+02 6.89520e+01
2.00000e+02 1.79736e+01
3.20000e+02 3.05053e+00
1.40000e+02 6.84446e+01
1.80000e+02 2.98954e+01
3.20000e+02 2.99918e+00
1.40000e+02 6.69336e+01
2.00000e+02 1.88112e+01
3.20000e+02 3.14683e+00
4.00000e+02 1.20022e+00
1.40000e+02 7.21608e+01
2.00000e+02 1.89884e+01
3.20000e+02 3.06768e+00
1.40000e+02 6.78963e+01
2.00000e+02 1.84544e+01
3.20000e+02 3.05069e+00
4.00000e+02 1.19287e+00
6.00000e+01 1.36391e+03
2.20000e+02 1.33190e+01
3.20000e+02 3.12783e+00
1.00000e+02 2.28203e+02
2.20000e+02 1.30241e+01
3.20000e+02 2.97975e+00
8.00000e+01 4.67099e+02
2.20000e+02 1.32674e+01
3.20000e+02 3.13969e+00
1.00000e+02 2.30565e+02
2.20000e+02 1.30626e+01
3.20000e+02 2.97876e+00
8.00000e+01 4.70371e+02
2.20000e+02 1.30368e+01
3.20000e+02 3.06179e+00
1.00000e+02 2.23396e+02
2.20000e+02 1.39248e+01
3.20000e+02 3.11789e+00
1.00000e+02 2.23600e+02
1.60000e+02 4.32501e+01
2.80000e+02 5.16667e+00
3.80000e+02 1.44443e+00
8.00000e+01 4.88448e+02
1.80000e+02 2.77756e+01
3.00000e+02 3.88865e+00
4.00000e+02 1.17790e+00
6.00000e+01 1.33795e+03
1.80000e+02 2.92416e+01
3.00000e+02 4.11203e+00
4.00000e+02 1.18153e+00
6.00000e+01 1.36293e+03
1.80000e+02 2.77438e+01
2.60000e+02 6.91643e+00
3.60000e+02 1.85367e+00
6.00000e+01 1.39466e+03
1.80000e+02 2.70151e+01
2.60000e+02 7.11653e+00
3.60000e+02 1.89178e+00
8.00000e+01 4.81101e+02
1.80000e+02 2.74760e+01
2.60000e+02 7.16483e+00
3.60000e+02 1.84684e+00
1.00000e+02 2.18479e+02
2.20000e+02 1.36257e+01
3.20000e+02 3.07153e+00
8.00000e+01 4.60643e+02
2.00000e+02 1.89446e+01
2.80000e+02 5.09508e+00
3.60000e+02 1.90055e+00
1.00000e+02 2.10571e+02
2.00000e+02 1.86905e+01
2.80000e+02 5.18807e+00
3.60000e+02 1.84934e+00
8.00000e+01 4.31454e+02
2.00000e+02 1.87716e+01
2.80000e+02 5.11717e+00
3.60000e+02 1.87867e+00
1.20000e+02 1.17530e+02
2.20000e+02 1.30235e+01
3.20000e+02 2.93193e+00
1.00000e+02 2.21657e+02
2.20000e+02 1.33667e+01
3.20000e+02 3.16192e+00
1.20000e+02 1.16504e+02
2.20000e+02 1.30853e+01
3.20000e+02 3.11095e+00
1.20000e+02 1.16802e+02
2.40000e+02 9.63711e+00
3.40000e+02 2.34393e+00
1.20000e+02 1.16142e+02
2.40000e+02 9.62272e+00
3.40000e+02 2.34842e+00
8.00000e+01 4.86685e+02
2.40000e+02 9.50563e+00
