masses    NLO_data
1.40000e+02 8.54919e+01
2.20000e+02 1.61849e+01
3.20000e+02 3.60196e+00
1.40000e+02 8.79509e+01
2.20000e+02 1.67348e+01
3.20000e+02 3.57055e+00
1.40000e+02 8.65230e+01
2.00000e+02 2.30219e+01
3.20000e+02 3.72806e+00
1.40000e+02 8.67109e+01
1.80000e+02 3.29232e+01
3.20000e+02 3.58665e+00
1.40000e+02 8.74870e+01
2.00000e+02 2.32025e+01
3.20000e+02 3.66508e+00
4.00000e+02 1.38091e+00
1.40000e+02 8.78181e+01
2.00000e+02 2.20085e+01
3.20000e+02 3.66614e+00
1.40000e+02 8.50102e+01
2.00000e+02 2.29924e+01
3.20000e+02 3.51363e+00
4.00000e+02 1.39921e+00
6.00000e+01 1.49850e+03
2.20000e+02 1.55617e+01
3.20000e+02 3.55427e+00
1.00000e+02 2.75040e+02
2.20000e+02 1.58988e+01
3.20000e+02 3.68240e+00
8.00000e+01 5.95575e+02
2.20000e+02 1.55826e+01
3.20000e+02 3.63616e+00
1.00000e+02 2.81553e+02
2.20000e+02 1.58436e+01
3.20000e+02 3.54518e+00
8.00000e+01 6.07158e+02
2.20000e+02 1.64793e+01
3.20000e+02 3.62115e+00
1.00000e+02 2.89067e+02
2.20000e+02 1.64370e+01
3.20000e+02 3.73001e+00
1.00000e+02 2.89736e+02
1.60000e+02 5.32045e+01
2.80000e+02 6.08258e+00
3.80000e+02 1.73081e+00
8.00000e+01 6.40103e+02
1.80000e+02 3.44443e+01
3.00000e+02 4.52977e+00
4.00000e+02 1.39140e+00
6.00000e+01 1.83579e+03
1.80000e+02 3.49135e+01
3.00000e+02 4.80920e+00
4.00000e+02 1.41745e+00
6.00000e+01 1.74551e+03
1.80000e+02 3.32024e+01
2.60000e+02 8.35266e+00
3.60000e+02 2.19706e+00
6.00000e+01 1.69338e+03
1.80000e+02 3.34899e+01
2.60000e+02 8.34740e+00
3.60000e+02 2.22705e+00
8.00000e+01 6.19190e+02
1.80000e+02 3.53799e+01
2.60000e+02 8.34300e+00
3.60000e+02 2.22742e+00
1.00000e+02 2.90287e+02
2.20000e+02 1.60685e+01
3.20000e+02 3.76244e+00
8.00000e+01 6.19682e+02
2.00000e+02 2.26955e+01
2.80000e+02 6.53467e+00
3.60000e+02 2.19522e+00
1.00000e+02 2.76458e+02
2.00000e+02 2.32284e+01
2.80000e+02 6.17612e+00
3.60000e+02 2.17378e+00
8.00000e+01 6.80981e+02
2.00000e+02 2.35873e+01
2.80000e+02 6.16051e+00
3.60000e+02 2.17185e+00
1.20000e+02 1.40607e+02
2.20000e+02 1.63496e+01
3.20000e+02 3.50899e+00
1.00000e+02 2.97499e+02
2.20000e+02 1.60385e+01
3.20000e+02 3.53120e+00
1.20000e+02 1.43343e+02
2.20000e+02 1.59672e+01
3.20000e+02 3.58183e+00
1.20000e+02 1.48581e+02
2.40000e+02 1.14656e+01
3.40000e+02 2.82091e+00
1.20000e+02 1.45355e+02
2.40000e+02 1.14317e+01
3.40000e+02 2.84421e+00
8.00000e+01 6.60356e+02
2.40000e+02 1.10973e+01
3.20000e+02 3.54841e+00
1.20000e+02 1.49147e+02
2.40000e+02 1.11719e+01
3.40000e+02 2.82964e+00
8.00000e+01 6.51258e+02
2.40000e+02 1.12024e+01
3.40000e+02 2.66555e+00
1.20000e+02 1.49131e+02
2.40000e+02 1.17540e+01
3.40000e+02 2.78393e+00
1.20000e+02 1.54410e+02
2.40000e+02 1.13505e+01
3.20000e+02 3.70744e+00
1.00000e+02 2.80852e+02
2.40000e+02 1.17016e+01
3.40000e+02 2.81640e+00
1.00000e+02 2.83122e+02
2.40000e+02 1.14689e+01
3.40000e+02 2.80617e+00
1.20000e+02 1.52580e+02
1.60000e+02 5.32544e+01
2.60000e+02 8.21261e+00
3.80000e+02 1.69851e+00
8.00000e+01 5.98361e+02
1.80000e+02 3.33859e+01
2.80000e+02 6.37219e+00
3.80000e+02 1.75109e+00
1.00000e+02 2.82998e+02
2.00000e+02 2.26725e+01
3.00000e+02 4.60844e+00
4.00000e+02 1.40359e+00
1.00000e+02 2.90069e+02
2.20000e+02 1.60250e+01
3.00000e+02 4.66858e+00
4.00000e+02 1.35167e+00
1.40000e+02 8.45207e+01
1.60000e+02 5.23243e+01
2.60000e+02 8.30291e+00
3.40000e+02 2.86935e+00
1.40000e+02 8.51488e+01
2.20000e+02 1.61814e+01
3.00000e+02 4.71485e+00
4.00000e+02 1.35685e+00
1.20000e+02 1.55268e+02
2.00000e+02 2.26153e+01
3.00000e+02 4.83002e+00
4.00000e+02 1.44383e+00
1.20000e+02 1.51318e+02
2.00000e+02 2.36730e+01
3.00000e+02 4.85195e+00
4.00000e+02 1.38007e+00
1.20000e+02 1.52331e+02
2.00000e+02 2.33656e+01
3.00000e+02 4.74924e+00
4.00000e+02 1.37077e+00
1.00000e+02 2.82913e+02
2.00000e+02 2.33405e+01
3.00000e+02 4.51569e+00
4.00000e+02 1.39268e+00
1.40000e+02 8.01785e+01
1.40000e+02 8.42993e+01
2.40000e+02 1.13150e+01
3.40000e+02 2.77168e+00
1.20000e+02 1.40323e+02
1.60000e+02 5.34285e+01
2.40000e+02 1.13629e+01
3.40000e+02 2.85695e+00
6.00000e+01 1.70596e+03
1.40000e+02 8.47395e+01
2.40000e+02 1.18478e+01
3.40000e+02 2.72597e+00
1.00000e+02 2.76910e+02
1.60000e+02 5.20742e+01
2.60000e+02 8.62927e+00
3.60000e+02 2.10770e+00
1.20000e+02 1.52154e+02
1.60000e+02 5.29519e+01
2.60000e+02 8.20728e+00
3.60000e+02 2.20725e+00
6.00000e+01 1.75998e+03
1.60000e+02 5.38957e+01
