masses     LO_data     LO_up     LO_down     NLO_data     NLO_up     NLO_down
1.16400e+03 3.19579e-03 2.94242e-03 3.77453e-03 3.51922e-03 2.89033e-03 4.60359e-03
2.03660e+02 1.76521e+01 1.75043e+01 1.80316e+01 2.29964e+01 1.56014e+01 3.10154e+01
1.21280e+03 2.40536e-03 2.19172e-03 2.71310e-03 2.62731e-03 2.08623e-03 3.37544e-03
3.18900e+03 5.93059e-08 5.02358e-08 7.09172e-08 6.29488e-08 5.17424e-08 8.15852e-08
9.12700e+02 1.67534e-02 1.50955e-02 1.81573e-02 1.83307e-02 1.50158e-02 2.36847e-02
2.63200e+03 9.88621e-07 8.27550e-07 1.16888e-06 1.01334e-06 7.64794e-07 1.35608e-06
2.39080e+03 3.45164e-06 2.92947e-06 4.10145e-06 3.63309e-06 2.80847e-06 4.57004e-06
5.13010e+02 3.77621e-01 3.48671e-01 4.06005e-01 4.46474e-01 3.30103e-01 5.68167e-01
2.66500e+03 8.24166e-07 7.11951e-07 9.68018e-07 8.65261e-07 6.67793e-07 1.13037e-06
1.05280e+03 6.53614e-03 5.92370e-03 7.37624e-03 7.41115e-03 5.80556e-03 9.12416e-03
2.17520e+03 1.13060e-05 9.50628e-06 1.28980e-05 1.13585e-05 9.30691e-06 1.47839e-05
2.22490e+03 8.39859e-06 7.21299e-06 9.84571e-06 8.94788e-06 7.11036e-06 1.13864e-05
2.74570e+03 5.16165e-07 4.52722e-07 6.38091e-07 5.56365e-07 4.42379e-07 7.64151e-07
2.32140e+03 4.96778e-06 4.36183e-06 5.97678e-06 5.19400e-06 4.07324e-06 6.94265e-06
9.39400e+02 1.37514e-02 1.27795e-02 1.61206e-02 1.52130e-02 1.22949e-02 1.98964e-02
2.41210e+03 3.09234e-06 2.64899e-06 3.73280e-06 3.17316e-06 2.52132e-06 4.34197e-06
3.90390e+02 1.31036e+00 1.24947e+00 1.38384e+00 1.60700e+00 1.13949e+00 2.07036e+00
8.74530e+02 2.18908e-02 1.91997e-02 2.38262e-02 2.53901e-02 1.93661e-02 3.10019e-02
1.36830e+03 9.60864e-04 8.51976e-04 1.07793e-03 1.06672e-03 8.33484e-04 1.37002e-03
7.43720e+02 5.68452e-02 5.06689e-02 6.16662e-02 6.25318e-02 4.83490e-02 7.85468e-02
1.12280e+03 4.33954e-03 3.66285e-03 4.66440e-03 4.71403e-03 3.63846e-03 6.06901e-03
3.03920e+03 1.21234e-07 1.04842e-07 1.48801e-07 1.28025e-07 1.00154e-07 1.68186e-07
2.22350e+03 8.53326e-06 7.08779e-06 9.83953e-06 9.00954e-06 7.00979e-06 1.15653e-05
1.50120e+03 4.32166e-04 3.95965e-04 5.15466e-04 4.59732e-04 3.82665e-04 6.27177e-04
1.70620e+03 1.38089e-04 1.20025e-04 1.63497e-04 1.53404e-04 1.21075e-04 1.89452e-04
2.34170e+03 4.57342e-06 3.86552e-06 5.46772e-06 4.72359e-06 3.77932e-06 6.28391e-06
2.23360e+03 7.85819e-06 6.83578e-06 9.19181e-06 8.22553e-06 6.42274e-06 1.09933e-05
5.41590e+02 2.89264e-01 2.73104e-01 3.16513e-01 3.42304e-01 2.58385e-01 4.39755e-01
2.00630e+03 2.75963e-05 2.41661e-05 3.16878e-05 2.89723e-05 2.25148e-05 3.74195e-05
6.61310e+02 1.05749e-01 9.80895e-02 1.14954e-01 1.17927e-01 9.36657e-02 1.52163e-01
1.35580e+03 1.00823e-03 9.39153e-04 1.20828e-03 1.13210e-03 8.62281e-04 1.46300e-03
3.76810e+02 1.53665e+00 1.45897e+00 1.61454e+00 1.83268e+00 1.36491e+00 2.40150e+00
2.04380e+03 2.24325e-05 1.90629e-05 2.56573e-05 2.32232e-05 1.85115e-05 3.14901e-05
1.43220e+03 6.67782e-04 5.88129e-04 7.74126e-04 6.99158e-04 5.59218e-04 9.40061e-04
2.96690e+03 1.79412e-07 1.46906e-07 2.07878e-07 1.82682e-07 1.42338e-07 2.37834e-07
1.50250e+03 4.47685e-04 3.84471e-04 5.35606e-04 4.82738e-04 3.86307e-04 6.30096e-04
1.80070e+03 8.36279e-05 7.13094e-05 9.63834e-05 8.69555e-05 6.99467e-05 1.12148e-04
1.69530e+03 1.52671e-04 1.30540e-04 1.73221e-04 1.61417e-04 1.26216e-04 2.12144e-04
2.48700e+03 2.04015e-06 1.76971e-06 2.46285e-06 2.21151e-06 1.67866e-06 2.90473e-06
4.72740e+02 5.46939e-01 5.22328e-01 5.94915e-01 6.51437e-01 4.59389e-01 8.43417e-01
2.07030e+03 1.97529e-05 1.72984e-05 2.25501e-05 2.03769e-05 1.59258e-05 2.69956e-05
3.24110e+03 4.65811e-08 3.87008e-08 5.61513e-08 4.96649e-08 4.01441e-08 6.28502e-08
1.05270e+03 6.69635e-03 5.83875e-03 7.51430e-03 7.50630e-03 5.84891e-03 9.48526e-03
2.47170e+03 2.28428e-06 1.95753e-06 2.71320e-06 2.44696e-06 1.82913e-06 3.08924e-06
1.36180e+03 1.00699e-03 8.99158e-04 1.13473e-03 1.09310e-03 8.36982e-04 1.41582e-03
1.73770e+03 1.17032e-04 1.04342e-04 1.33898e-04 1.22470e-04 9.93610e-05 1.60235e-04
4.14080e+02 1.00630e+00 9.60937e-01 1.06412e+00 1.23355e+00 8.95706e-01 1.58213e+00
2.46660e+03 2.30463e-06 1.98586e-06 2.74969e-06 2.40813e-06 1.82887e-06 3.16233e-06
2.78130e+03 4.56688e-07 3.76105e-07 5.37736e-07 4.64862e-07 3.58806e-07 6.17851e-07
2.43810e+03 2.74141e-06 2.29367e-06 3.15446e-06 2.84815e-06 2.20499e-06 3.68433e-06
9.87890e+02 1.00750e-02 9.06066e-03 1.11037e-02 1.10448e-02 9.10437e-03 1.43450e-02
2.78950e+03 4.22638e-07 3.60453e-07 5.01681e-07 4.42590e-07 3.40131e-07 5.75923e-07
1.24840e+03 2.02057e-03 1.74036e-03 2.20405e-03 2.09914e-03 1.64558e-03 2.81735e-03
4.67120e+02 5.89432e-01 5.46647e-01 6.29211e-01 6.87515e-01 5.21164e-01 9.06734e-01
3.08470e+03 9.87663e-08 8.29042e-08 1.14763e-07 1.02440e-07 8.16097e-08 1.35501e-07
1.24080e+03 2.12050e-03 1.87299e-03 2.38843e-03 2.19293e-03 1.80677e-03 2.85505e-03
3.06030e+03 1.08810e-07 9.23998e-08 1.31287e-07 1.18380e-07 9.11599e-08 1.49607e-07
1.15990e+03 3.37394e-03 2.98985e-03 3.75223e-03 3.84521e-03 2.73712e-03 4.51238e-03
3.52470e+02 2.02173e+00 1.94240e+00 2.12041e+00 2.39606e+00 1.75653e+00 3.22821e+00
2.16510e+03 1.16874e-05 9.89676e-06 1.37091e-05 1.21195e-05 9.72119e-06 1.58641e-05
1.37150e+03 9.00984e-04 8.63233e-04 1.07509e-03 1.00849e-03 7.91038e-04 1.32470e-03
1.65650e+03 1.89266e-04 1.67519e-04 2.18841e-04 1.97170e-04 1.58358e-04 2.54861e-04
3.17770e+03 6.38732e-08 5.31701e-08 7.50764e-08 6.72406e-08 5.36098e-08 8.49630e-08
3.02390e+03 1.31740e-07 1.12835e-07 1.59795e-07 1.35753e-07 1.10151e-07 1.80200e-07
2.94000e+03 2.01973e-07 1.70455e-07 2.33517e-07 2.07939e-07 1.67309e-07 2.81796e-07
1.21320e+03 2.40891e-03 2.17686e-03 2.71923e-03 2.59434e-03 2.14420e-03 3.47892e-03
2.49680e+02 8.25142e+00 7.79947e+00 8.36916e+00 1.05006e+01 7.14684e+00 1.38745e+01
1.67130e+03 1.69661e-04 1.48319e-04 1.97238e-04 1.85765e-04 1.40194e-04 2.34856e-04
9.37510e+02 1.43847e-02 1.26366e-02 1.60226e-02 1.50334e-02 1.26391e-02 2.06702e-02
3.14540e+03 7.13653e-08 6.13849e-08 8.82916e-08 7.88756e-08 6.00526e-08 9.99243e-08
4.45020e+02 7.23311e-01 6.90831e-01 7.86726e-01 8.66657e-01 6.42607e-01 1.14066e+00
1.70350e+03 1.46860e-04 1.28206e-04 1.69270e-04 1.54688e-04 1.17851e-04 1.96054e-04
2.33920e+03 4.66047e-06 4.01401e-06 5.36883e-06 4.70773e-06 3.73996e-06 6.21800e-06
9.94780e+02 9.46531e-03 8.84666e-03 1.06572e-02 1.05588e-02 8.42388e-03 1.34449e-02
2.37320e+03 3.80225e-06 3.26422e-06 4.59597e-06 3.99241e-06 3.14484e-06 5.25254e-06
1.62800e+03 2.23292e-04 1.92007e-04 2.62637e-04 2.38840e-04 1.86462e-04 2.98185e-04
3.10450e+03 9.04786e-08 7.68074e-08 1.07329e-07 9.46621e-08 7.20828e-08 1.22136e-07
3.49240e+03 1.51064e-08 1.21392e-08 1.77695e-08 1.62932e-08 1.26193e-08 2.10343e-08
1.63790e+03 2.06105e-04 1.80203e-04 2.36084e-04 2.26712e-04 1.71481e-04 2.78026e-04
3.16540e+02 3.17870e+00 3.03612e+00 3.30188e+00 3.84210e+00 2.65776e+00 5.17291e+00
1.59610e+03 2.61673e-04 2.35287e-04 3.01588e-04 2.77777e-04 2.21096e-04 3.59795e-04
9.50920e+02 1.24544e-02 1.14681e-02 1.41125e-02 1.49712e-02 1.08348e-02 1.88816e-02
3.42220e+03 2.07868e-08 1.67383e-08 2.47110e-08 2.22101e-08 1.75124e-08 2.83792e-08
3.21120e+03 5.42022e-08 4.53956e-08 6.48554e-08 5.82183e-08 4.48713e-08 7.23060e-08
