masses     LO_data     LO_up     LO_down     NLO_data     NLO_up     NLO_down
8.29210e+02 1.19686e-02 1.06245e-02 1.28044e-02 1.32678e-02 1.05362e-02 1.64565e-02
2.58660e+03 5.54712e-07 4.68711e-07 6.38936e-07 5.78250e-07 4.44393e-07 7.49506e-07
1.85210e+03 2.69126e-05 2.33328e-05 3.10335e-05 2.91770e-05 2.36557e-05 3.65577e-05
5.48240e+02 1.06770e-01 9.93247e-02 1.15642e-01 1.27808e-01 9.49283e-02 1.58183e-01
4.63250e+02 2.35779e-01 2.19726e-01 2.53316e-01 2.76376e-01 2.15064e-01 3.60384e-01
1.94490e+03 1.58551e-05 1.39045e-05 1.88048e-05 1.74716e-05 1.39877e-05 2.16146e-05
1.93200e+03 1.73013e-05 1.49449e-05 1.99395e-05 1.87603e-05 1.42572e-05 2.34378e-05
1.67110e+03 7.16124e-05 6.35527e-05 8.38253e-05 7.82453e-05 6.25110e-05 9.83243e-05
3.46130e+02 8.44227e-01 8.04220e-01 8.83321e-01 1.03342e+00 7.43095e-01 1.32968e+00
1.90550e+03 2.04581e-05 1.76139e-05 2.25671e-05 2.14476e-05 1.71123e-05 2.79114e-05
8.29760e+02 1.13760e-02 1.05672e-02 1.27469e-02 1.27328e-02 1.00722e-02 1.66245e-02
9.66340e+02 4.48444e-03 4.15140e-03 5.08332e-03 5.15073e-03 4.11962e-03 6.65574e-03
2.23520e+03 3.46799e-06 2.92791e-06 4.08550e-06 3.69989e-06 2.87037e-06 4.69479e-06
1.98170e+03 1.34197e-05 1.19435e-05 1.53002e-05 1.44193e-05 1.13027e-05 1.83922e-05
7.59400e+02 1.93523e-02 1.73333e-02 2.07150e-02 2.24234e-02 1.66159e-02 2.73956e-02
1.30580e+03 5.69079e-04 5.12934e-04 6.45335e-04 6.35312e-04 4.80615e-04 7.99601e-04
2.25310e+03 3.25601e-06 2.74755e-06 3.74253e-06 3.22655e-06 2.66617e-06 4.32223e-06
1.53150e+03 1.60372e-04 1.37193e-04 1.74309e-04 1.68636e-04 1.34553e-04 2.14935e-04
1.47830e+03 2.08129e-04 1.83922e-04 2.33354e-04 2.30228e-04 1.83986e-04 2.86762e-04
6.51900e+02 4.54446e-02 4.18159e-02 4.92783e-02 5.07270e-02 4.02274e-02 6.16425e-02
1.71200e+02 1.25600e+01 1.22981e+01 1.24335e+01 1.67140e+01 1.10645e+01 2.27706e+01
1.40230e+03 3.29039e-04 2.87582e-04 3.57067e-04 3.52548e-04 2.90179e-04 4.49855e-04
6.07780e+02 6.30560e-02 5.95932e-02 7.00659e-02 7.18808e-02 5.59791e-02 9.46384e-02
2.64380e+03 4.12476e-07 3.47056e-07 4.89031e-07 4.31084e-07 3.43820e-07 5.78457e-07
2.03250e+03 1.02648e-05 8.83330e-06 1.18309e-05 1.08256e-05 8.58308e-06 1.40731e-05
