masses      stau_mix      LO_data      NLO_data      NLO_err      Alpha_err
1.16400e+03 1.00000e+00 1.36197e-03 1.49730e-03 1.09200e-04 -1.36901e-05
2.03660e+02 1.00000e+00 6.75868e+00 8.13467e+00 2.42330e-01 2.05577e-01
1.21280e+03 1.00000e+00 9.99385e-04 1.11822e-03 8.31379e-05 4.24599e-06
3.18900e+03 1.00000e+00 2.68416e-08 2.94113e-08 1.77730e-08 -2.78507e-09
9.12700e+02 1.00000e+00 6.53633e-03 7.88520e-03 3.56595e-04 -5.12884e-05
2.63200e+03 1.00000e+00 4.25717e-07 4.95950e-07 2.04378e-07 -1.33849e-08
2.39080e+03 1.00000e+00 1.53437e-06 1.67376e-06 5.63135e-07 -5.56021e-08
5.13010e+02 1.00000e+00 1.49098e-01 1.75938e-01 5.73118e-03 1.67164e-03
2.66500e+03 1.00000e+00 3.60461e-07 3.92983e-07 1.73829e-07 -1.62635e-08
1.05280e+03 1.00000e+00 2.72951e-03 3.09805e-03 1.80102e-04 -1.50756e-05
2.17520e+03 1.00000e+00 4.61074e-06 5.42549e-06 1.35482e-06 1.83246e-08
2.22490e+03 1.00000e+00 3.71724e-06 4.05209e-06 1.05731e-06 -5.63129e-08
2.74570e+03 1.00000e+00 2.32250e-07 2.64277e-07 1.37280e-07 -1.48144e-08
2.32140e+03 1.00000e+00 2.24221e-06 2.43587e-06 7.20745e-07 -5.73319e-08
9.39400e+02 1.00000e+00 5.60963e-03 6.36853e-03 3.71717e-04 -9.68357e-05
2.41210e+03 1.00000e+00 1.35967e-06 1.47336e-06 5.27440e-07 -3.79496e-08
3.90390e+02 1.00000e+00 4.90252e-01 6.09677e-01 2.01529e-02 6.17024e-03
8.74530e+02 1.00000e+00 9.04637e-03 9.77102e-03 4.98442e-04 -3.54959e-04
1.36830e+03 1.00000e+00 4.00143e-04 4.49364e-04 3.96761e-05 -1.74805e-05
7.43720e+02 1.00000e+00 2.28310e-02 2.65781e-02 1.27111e-03 -5.58586e-04
1.12280e+03 1.00000e+00 1.64984e-03 1.94700e-03 1.30094e-04 -3.46553e-05
3.03920e+03 1.00000e+00 5.55035e-08 6.05215e-08 3.62930e-08 -5.30953e-09
2.22350e+03 1.00000e+00 3.77113e-06 4.15942e-06 1.12210e-06 -4.06195e-08
1.50120e+03 1.00000e+00 1.91323e-04 2.11121e-04 2.03660e-05 -9.67950e-06
1.70620e+03 1.00000e+00 5.99922e-05 6.54405e-05 9.74890e-06 -1.45908e-06
2.34170e+03 1.00000e+00 1.98031e-06 2.25597e-06 6.55833e-07 -8.01246e-09
2.23360e+03 1.00000e+00 3.57636e-06 3.74110e-06 1.02601e-06 8.83235e-09
5.41590e+02 1.00000e+00 1.15698e-01 1.34460e-01 5.32625e-03 -8.87289e-04
2.00630e+03 1.00000e+00 1.20639e-05 1.29693e-05 2.77972e-06 -5.33944e-07
6.61310e+02 1.00000e+00 4.18489e-02 4.84687e-02 2.46738e-03 8.80261e-04
1.35580e+03 1.00000e+00 4.24194e-04 4.68001e-04 4.24888e-05 -3.86659e-06
3.76810e+02 1.00000e+00 5.97408e-01 7.03562e-01 2.53090e-02 9.93280e-03
2.04380e+03 1.00000e+00 9.60377e-06 1.07772e-05 2.36937e-06 6.32972e-08
1.43220e+03 1.00000e+00 2.74530e-04 3.18551e-04 3.01200e-05 -5.01928e-06
2.96690e+03 1.00000e+00 8.03618e-08 8.90473e-08 5.29547e-08 -2.12945e-09
1.50250e+03 1.00000e+00 1.91541e-04 2.10013e-04 2.35264e-05 -5.29231e-06
1.80070e+03 1.00000e+00 3.60564e-05 3.91963e-05 6.22292e-06 1.16798e-07
1.69530e+03 1.00000e+00 6.40121e-05 7.06112e-05 9.88399e-06 -1.81448e-07
2.48700e+03 1.00000e+00 9.34621e-07 9.78972e-07 3.86504e-07 -2.49406e-08
4.72740e+02 1.00000e+00 2.15493e-01 2.59480e-01 9.58547e-03 2.22488e-03
2.07030e+03 1.00000e+00 8.31139e-06 9.37821e-06 2.09927e-06 -1.86944e-07
3.24110e+03 1.00000e+00 2.04965e-08 2.34901e-08 1.32620e-08 -2.70329e-09
1.05270e+03 1.00000e+00 2.63015e-03 3.00344e-03 2.04183e-04 6.53654e-05
2.47170e+03 1.00000e+00 1.02336e-06 1.12260e-06 3.86020e-07 -4.19823e-08
1.36180e+03 1.00000e+00 4.14003e-04 4.75971e-04 4.19531e-05 -4.27262e-06
1.73770e+03 1.00000e+00 5.05435e-05 5.82606e-05 8.15190e-06 -1.52523e-06
4.14080e+02 1.00000e+00 3.88301e-01 4.78874e-01 1.54999e-02 2.73221e-03
2.46660e+03 1.00000e+00 1.00809e-06 1.11867e-06 4.15135e-07 -2.74132e-08
2.78130e+03 1.00000e+00 1.96386e-07 2.22229e-07 1.15031e-07 -8.76791e-09
2.43810e+03 1.00000e+00 1.18736e-06 1.36458e-06 4.65046e-07 -4.76526e-08
9.87890e+02 1.00000e+00 4.06573e-03 4.56106e-03 2.84453e-04 -6.99740e-05
2.78950e+03 1.00000e+00 1.98530e-07 2.10936e-07 1.11731e-07 -5.77916e-09
1.24840e+03 1.00000e+00 7.72054e-04 8.98948e-04 7.42544e-05 -1.13535e-05
4.67120e+02 1.00000e+00 2.32873e-01 2.69600e-01 8.87890e-03 3.68365e-03
3.08470e+03 1.00000e+00 4.43516e-08 4.82065e-08 2.98613e-08 -4.52868e-09
1.24080e+03 1.00000e+00 8.70955e-04 9.45802e-04 8.42447e-05 -1.29629e-05
3.06030e+03 1.00000e+00 4.86519e-08 5.54383e-08 3.20525e-08 -5.01482e-09
1.15990e+03 1.00000e+00 1.35405e-03 1.53100e-03 1.10420e-04 -4.85025e-05
3.52470e+02 1.00000e+00 7.76732e-01 9.51662e-01 2.82209e-02 -2.94218e-02
2.16510e+03 1.00000e+00 5.17012e-06 5.47756e-06 1.39523e-06 -2.16150e-08
1.37150e+03 1.00000e+00 3.97846e-04 4.28224e-04 3.95187e-05 -1.92011e-05
1.65650e+03 1.00000e+00 8.26201e-05 8.78395e-05 1.23829e-05 -1.14816e-06
3.17770e+03 1.00000e+00 2.89983e-08 3.12339e-08 1.78188e-08 -3.10623e-09
3.02390e+03 1.00000e+00 5.65791e-08 6.47072e-08 3.87341e-08 -2.50930e-09
2.94000e+03 1.00000e+00 8.85929e-08 9.81829e-08 6.20068e-08 -4.43932e-09
1.21320e+03 1.00000e+00 9.84433e-04 1.12338e-03 8.27799e-05 -2.40254e-05
2.49680e+02 1.00000e+00 3.09747e+00 3.72393e+00 1.11027e-01 7.58285e-02
1.67130e+03 1.00000e+00 7.36786e-05 8.17420e-05 1.09549e-05 -1.83374e-06
9.37510e+02 1.00000e+00 5.65049e-03 6.50824e-03 4.28819e-04 8.92253e-05
3.14540e+03 1.00000e+00 3.19522e-08 3.60131e-08 2.09986e-08 -3.16729e-09
4.45020e+02 1.00000e+00 2.88609e-01 3.34476e-01 1.01955e-02 1.32916e-03
1.70350e+03 1.00000e+00 6.15528e-05 6.62666e-05 9.41065e-06 -1.18674e-06
2.33920e+03 1.00000e+00 2.01008e-06 2.24958e-06 6.67294e-07 3.06747e-08
9.94780e+02 1.00000e+00 3.91930e-03 4.41662e-03 3.07883e-04 -1.54276e-04
2.37320e+03 1.00000e+00 1.71274e-06 1.87034e-06 5.87942e-07 -6.70528e-08
1.62800e+03 1.00000e+00 9.10784e-05 1.00447e-04 1.38516e-05 -2.29116e-06
3.10450e+03 1.00000e+00 3.94076e-08 4.45665e-08 2.52492e-08 -2.67725e-09
3.49240e+03 1.00000e+00 6.62986e-09 7.22879e-09 4.80194e-09 -9.85294e-10
1.63790e+03 1.00000e+00 8.45781e-05 9.73434e-05 1.23586e-05 -1.78525e-09
3.16540e+02 1.00000e+00 1.24717e+00 1.47486e+00 4.71783e-02 -1.68384e-02
1.59610e+03 1.00000e+00 1.07165e-04 1.22150e-04 1.37081e-05 -1.31985e-06
9.50920e+02 1.00000e+00 5.08005e-03 5.75206e-03 3.36401e-04 -1.38593e-05
3.42220e+03 1.00000e+00 8.90691e-09 1.01326e-08 6.21687e-09 -1.04194e-09
3.21120e+03 1.00000e+00 2.37719e-08 2.70371e-08 1.53483e-08 -2.50860e-09
1.93410e+03 1.00000e+00 1.71601e-05 1.88817e-05 3.67421e-06 -2.19904e-07
2.29590e+03 1.00000e+00 2.53918e-06 2.85655e-06 7.96916e-07 -1.18910e-07
5.83700e+02 1.00000e+00 7.76235e-02 9.46017e-02 3.80987e-03 -3.00039e-04
2.00550e+03 1.00000e+00 1.18815e-05 1.32238e-05 2.58672e-06 -5.45545e-07
3.39060e+03 1.00000e+00 1.00766e-08 1.10398e-08 7.79611e-09 -1.18372e-09
6.34100e+02 1.00000e+00 5.23934e-02 6.22560e-02 2.67993e-03 7.93575e-04
3.41660e+03 1.00000e+00 9.29500e-09 1.00151e-08 6.27957e-09 -1.04323e-09
1.73290e+03 1.00000e+00 5.31577e-05 5.62936e-05 9.20644e-06 -1.65225e-06
6.34770e+02 1.00000e+00 5.13175e-02 6.20078e-02 2.61829e-03 -1.86607e-04
2.03680e+03 1.00000e+00 1.01606e-05 1.11143e-05 2.29447e-06 -1.67939e-07
6.56120e+02 1.00000e+00 4.27139e-02 5.00899e-02 2.55869e-03 -5.63654e-04
2.37010e+03 1.00000e+00 1.73198e-06 1.84945e-06 5.86098e-07 -1.47298e-08
6.56080e+02 1.00000e+00 4.21312e-02 5.31159e-02 2.12127e-03 1.31445e-03
2.29810e+03 1.00000e+00 2.48521e-06 2.89224e-06 7.97180e-07 -8.39198e-08
2.13400e+03 1.00000e+00 5.96466e-06 6.81353e-06 1.49324e-06 -1.58868e-08
2.39940e+03 1.00000e+00 1.47902e-06 1.61054e-06 5.52966e-07 -4.58497e-08
1.14890e+03 1.00000e+00 1.44701e-03 1.67345e-03 1.33183e-04 -5.02024e-05
3.23840e+03 1.00000e+00 2.04820e-08 2.36040e-08 1.32710e-08 -2.30381e-09
1.24250e+03 1.00000e+00 8.57921e-04 9.30856e-04 8.65912e-05 2.80910e-05
3.76150e+02 1.00000e+00 5.99841e-01 7.18072e-01 2.16482e-02 1.49992e-02
2.74660e+03 1.00000e+00 2.34018e-07 2.68632e-07 1.41717e-07 -2.82266e-09
2.42820e+03 1.00000e+00 1.23852e-06 1.42587e-06 4.83103e-07 -5.67783e-08
2.81480e+03 1.00000e+00 1.67322e-07 1.83307e-07 1.04375e-07 -9.65966e-09
6.44550e+02 1.00000e+00 4.66570e-02 5.45045e-02 2.25456e-03 -4.54805e-04
2.82750e+03 1.00000e+00 1.59537e-07 1.75852e-07 9.47619e-08 -1.23490e-08
1.16780e+03 1.00000e+00 1.31017e-03 1.52107e-03 1.14497e-04 -4.68222e-05
7.16480e+02 1.00000e+00 2.72011e-02 3.25683e-02 1.67028e-03 -1.79969e-04
2.39670e+03 1.00000e+00 1.48468e-06 1.64358e-06 5.28934e-07 -3.02551e-08
1.26130e+03 1.00000e+00 7.56361e-04 8.62188e-04 7.15737e-05 -2.16333e-05
2.41110e+03 1.00000e+00 1.36499e-06 1.52988e-06 5.17750e-07 -9.04096e-08
2.34390e+03 1.00000e+00 1.93328e-06 2.11179e-06 6.68689e-07 -9.52055e-08
3.27520e+03 1.00000e+00 1.75106e-08 1.90770e-08 1.10366e-08 -2.37500e-09
1.90170e+03 1.00000e+00 2.06226e-05 2.32834e-05 4.16955e-06 -2.77351e-07
2.24290e+03 1.00000e+00 3.42807e-06 3.73542e-06 9.72331e-07 -8.08687e-08
1.94580e+03 1.00000e+00 1.60282e-05 1.86783e-05 3.55062e-06 -4.59891e-08
1.06910e+03 1.00000e+00 2.50682e-03 2.89550e-03 1.91022e-04 -5.56926e-05
1.45520e+03 1.00000e+00 2.32546e-04 2.78905e-04 2.72021e-05 3.15766e-06
1.32380e+03 1.00000e+00 5.28835e-04 5.98451e-04 4.87568e-05 -8.44012e-06
2.14890e+02 1.00000e+00 5.54222e+00 6.84296e+00 1.96875e-01 1.36286e-01
1.70090e+03 1.00000e+00 5.97207e-05 6.92657e-05 1.02690e-05 -2.20302e-07
3.01060e+03 1.00000e+00 6.52166e-08 6.98415e-08 4.17506e-08 -2.45022e-09
2.35560e+03 1.00000e+00 1.87831e-06 2.05688e-06 6.31341e-07 -6.69421e-08
3.40260e+03 1.00000e+00 9.81302e-09 1.06804e-08 6.85619e-09 -1.11681e-09
2.58030e+03 1.00000e+00 5.54936e-07 6.14511e-07 2.50011e-07 -1.63266e-08
4.04700e+02 1.00000e+00 4.58938e-01 5.18890e-01 1.71877e-02 4.67599e-03
9.36370e+02 1.00000e+00 5.68467e-03 6.45554e-03 3.89967e-04 -2.71729e-05
6.09060e+02 1.00000e+00 6.23477e-02 7.35894e-02 2.80840e-03 1.60125e-03
2.09360e+03 1.00000e+00 7.62568e-06 7.86622e-06 1.81557e-06 1.05938e-07
2.97620e+03 1.00000e+00 7.26059e-08 8.34457e-08 5.04178e-08 -6.05906e-09
1.62060e+03 1.00000e+00 9.25013e-05 1.04523e-04 1.31407e-05 -1.38939e-06
1.18390e+03 1.00000e+00 1.13161e-03 1.33145e-03 9.92198e-05 9.76727e-06
1.79290e+03 1.00000e+00 3.69599e-05 4.10573e-05 6.74990e-06 -5.33046e-07
1.00810e+03 1.00000e+00 3.56733e-03 4.01098e-03 2.60332e-04 5.03711e-05
3.47720e+03 1.00000e+00 6.92720e-09 7.75316e-09 5.22595e-09 -8.29772e-10
2.54400e+03 1.00000e+00 7.07859e-07 7.38539e-07 2.85570e-07 -7.29505e-09
3.44640e+02 1.00000e+00 8.74584e-01 1.06296e+00 3.39132e-02 -7.75357e-03
3.11490e+03 1.00000e+00 3.79589e-08 4.08876e-08 2.43149e-08 -3.53645e-09
3.44190e+03 1.00000e+00 8.58210e-09 9.13044e-09 6.12212e-09 -1.01700e-09
2.73220e+03 1.00000e+00 2.51074e-07 2.84756e-07 1.46640e-07 -9.29548e-09
8.18670e+02 1.00000e+00 1.24896e-02 1.56374e-02 8.19472e-04 1.01421e-04
1.16870e+03 1.00000e+00 1.32217e-03 1.51857e-03 1.19875e-04 4.73942e-06
8.73380e+02 1.00000e+00 8.94179e-03 1.03010e-02 5.74440e-04 9.16151e-05
3.09140e+03 1.00000e+00 4.18966e-08 4.61030e-08 2.77613e-08 -3.85681e-09
2.01370e+03 1.00000e+00 1.13955e-05 1.22281e-05 2.68377e-06 -2.22647e-07
2.28920e+03 1.00000e+00 2.64211e-06 2.91791e-06 7.86777e-07 -5.86571e-08
1.16870e+03 1.00000e+00 1.31235e-03 1.48620e-03 1.01769e-04 -4.34936e-06
2.75910e+03 1.00000e+00 2.23036e-07 2.45932e-07 1.30784e-07 -1.13764e-08
9.81940e+02 1.00000e+00 4.28065e-03 4.90519e-03 3.02877e-04 -2.05340e-04
1.70250e+03 1.00000e+00 6.01662e-05 6.69133e-05 8.99170e-06 -2.68611e-06
3.21620e+03 1.00000e+00 2.35106e-08 2.60797e-08 1.56519e-08 -2.29663e-09
1.30070e+03 1.00000e+00 6.12169e-04 6.54400e-04 5.66102e-05 1.18085e-05
2.64710e+03 1.00000e+00 4.00727e-07 4.43227e-07 1.85967e-07 -1.39127e-08
3.67570e+02 1.00000e+00 6.69612e-01 8.00745e-01 2.24768e-02 -4.60980e-03
9.85350e+02 1.00000e+00 4.19420e-03 4.81393e-03 2.86689e-04 4.84054e-05
2.32440e+02 1.00000e+00 4.07149e+00 5.05075e+00 1.47057e-01 5.58833e-02
1.55930e+03 1.00000e+00 1.34264e-04 1.51137e-04 1.61650e-05 1.72295e-06
1.12500e+03 1.00000e+00 1.76698e-03 1.94773e-03 1.33628e-04 -1.02959e-05
8.83720e+02 1.00000e+00 7.99325e-03 9.18093e-03 4.94707e-04 -4.16280e-05
1.89050e+03 1.00000e+00 2.20558e-05 2.45347e-05 4.25513e-06 -5.82947e-07
2.88180e+02 1.00000e+00 1.84340e+00 2.17797e+00 5.96036e-02 -8.53152e-03
2.76820e+02 1.00000e+00 2.09698e+00 2.56854e+00 7.14733e-02 2.32702e-02
1.86330e+03 1.00000e+00 2.51580e-05 2.83081e-05 4.80854e-06 -8.52812e-07
3.02310e+03 1.00000e+00 5.89321e-08 6.58196e-08 3.63763e-08 -5.02114e-09
3.47820e+03 1.00000e+00 7.04348e-09 7.65199e-09 5.26670e-09 -9.10639e-10
2.61420e+03 1.00000e+00 4.70634e-07 5.19633e-07 2.20646e-07 -1.26137e-08
2.31930e+02 1.00000e+00 4.33335e+00 5.06588e+00 1.40131e-01 -1.47246e-01
9.74580e+02 1.00000e+00 4.48097e-03 5.18449e-03 3.53438e-04 -1.45384e-05
2.38030e+03 1.00000e+00 1.59294e-06 1.76189e-06 5.71162e-07 -2.39205e-08
3.23220e+03 1.00000e+00 2.18665e-08 2.39414e-08 1.42046e-08 -2.00586e-09
7.86480e+02 1.00000e+00 1.68597e-02 1.91799e-02 9.21894e-04 3.63186e-04
