masses      stau_mix      LO_data      LO_err      NLO_data      NLO_err      Alpha_err      time_elapsed
1.16400e+03 1.00000e+00 3.32915e-03 0.00000e+00 3.73895e-03 3.42518e-04 4.68225e-05 1.09633e+05
2.03660e+02 1.00000e+00 1.78253e+01 0.00000e+00 2.19370e+01 9.80292e-01 2.07793e+00 1.09633e+05
1.21280e+03 1.00000e+00 2.46484e-03 0.00000e+00 2.74644e-03 2.42343e-04 -6.22429e-05 1.09633e+05
3.18900e+03 1.00000e+00 5.83648e-08 0.00000e+00 6.20985e-08 3.34574e-08 -6.90457e-09 1.09633e+05
9.12700e+02 1.00000e+00 1.71922e-02 0.00000e+00 1.85336e-02 1.49344e-03 -1.51602e-04 1.09633e+05
2.63200e+03 1.00000e+00 9.72663e-07 0.00000e+00 1.05279e-06 3.93424e-07 -9.03066e-08 1.09633e+05
2.39080e+03 1.00000e+00 3.31988e-06 0.00000e+00 3.80731e-06 1.15167e-06 -1.69077e-07 1.09633e+05
5.13010e+02 1.00000e+00 3.70467e-01 0.00000e+00 4.51283e-01 2.36242e-02 -1.84249e-02 1.09633e+05
2.66500e+03 1.00000e+00 8.19329e-07 0.00000e+00 8.80546e-07 3.65086e-07 -2.94353e-08 1.09633e+05
1.05280e+03 1.00000e+00 6.60473e-03 0.00000e+00 7.53968e-03 6.29419e-04 -3.80416e-04 1.09633e+05
2.17520e+03 1.00000e+00 1.07746e-05 0.00000e+00 1.18097e-05 2.94951e-06 -3.58544e-07 1.09633e+05
2.22490e+03 1.00000e+00 8.61990e-06 0.00000e+00 9.52950e-06 2.64219e-06 -3.05051e-07 1.09633e+05
2.74570e+03 1.00000e+00 5.53136e-07 0.00000e+00 6.03740e-07 2.43458e-07 -4.75463e-08 1.09633e+05
2.32140e+03 1.00000e+00 5.02841e-06 0.00000e+00 5.59325e-06 1.63032e-06 -2.39241e-07 1.09633e+05
9.39400e+02 1.00000e+00 1.41723e-02 0.00000e+00 1.58202e-02 1.07745e-03 3.62937e-04 1.09633e+05
2.41210e+03 1.00000e+00 3.15059e-06 0.00000e+00 3.35267e-06 1.08343e-06 -2.21596e-07 1.09633e+05
3.90390e+02 1.00000e+00 1.33750e+00 0.00000e+00 1.61673e+00 8.04905e-02 2.94060e-02 1.09633e+05
8.74530e+02 1.00000e+00 2.24118e-02 0.00000e+00 2.56398e-02 1.60035e-03 1.13714e-04 1.09633e+05
1.36830e+03 1.00000e+00 9.46871e-04 0.00000e+00 1.08908e-03 1.00715e-04 9.44072e-06 1.09633e+05
7.43720e+02 1.00000e+00 5.46921e-02 0.00000e+00 6.38630e-02 3.64485e-03 -9.82285e-04 1.09633e+05
1.12280e+03 1.00000e+00 4.33253e-03 0.00000e+00 4.90200e-03 4.44504e-04 -1.96689e-04 1.09633e+05
3.03920e+03 1.00000e+00 1.19425e-07 0.00000e+00 1.33119e-07 6.63105e-08 -6.88872e-09 1.09633e+05
2.22350e+03 1.00000e+00 8.65155e-06 0.00000e+00 9.80947e-06 2.47744e-06 -2.79107e-07 1.09633e+05
1.50120e+03 1.00000e+00 4.46952e-04 0.00000e+00 5.18463e-04 6.17990e-05 1.34774e-05 1.09633e+05
1.70620e+03 1.00000e+00 1.38968e-04 0.00000e+00 1.52456e-04 2.09960e-05 -1.22699e-05 1.09633e+05
2.34170e+03 1.00000e+00 4.63859e-06 0.00000e+00 4.96143e-06 1.48717e-06 3.83710e-07 1.09633e+05
2.23360e+03 1.00000e+00 7.93923e-06 0.00000e+00 9.01390e-06 2.33263e-06 -1.47231e-07 1.09633e+05
5.41590e+02 1.00000e+00 2.86994e-01 0.00000e+00 3.32895e-01 1.89272e-02 -2.08601e-03 1.09633e+05
2.00630e+03 1.00000e+00 2.64984e-05 0.00000e+00 3.01454e-05 5.69247e-06 -5.44653e-07 1.09633e+05
6.61310e+02 1.00000e+00 1.09340e-01 0.00000e+00 1.24459e-01 7.27916e-03 -6.89793e-03 1.09633e+05
1.35580e+03 1.00000e+00 1.05274e-03 0.00000e+00 1.12945e-03 1.24022e-04 -3.58279e-07 1.09633e+05
3.76810e+02 1.00000e+00 1.50484e+00 0.00000e+00 1.80739e+00 8.37254e-02 -2.96047e-02 1.09633e+05
2.04380e+03 1.00000e+00 2.23413e-05 0.00000e+00 2.39959e-05 4.99210e-06 -5.06968e-07 1.09633e+05
1.43220e+03 1.00000e+00 6.65897e-04 0.00000e+00 7.14841e-04 7.49946e-05 -1.81017e-05 1.09633e+05
2.96690e+03 1.00000e+00 1.74917e-07 0.00000e+00 1.96206e-07 9.97982e-08 -2.99983e-08 1.09633e+05
1.50250e+03 1.00000e+00 4.57011e-04 0.00000e+00 5.08027e-04 4.93334e-05 1.62909e-05 1.09633e+05
1.80070e+03 1.00000e+00 8.19281e-05 0.00000e+00 9.36823e-05 1.44232e-05 -3.23560e-06 1.09633e+05
1.69530e+03 1.00000e+00 1.54295e-04 0.00000e+00 1.71728e-04 2.43396e-05 -1.02181e-05 1.09633e+05
2.48700e+03 1.00000e+00 2.08853e-06 0.00000e+00 2.38531e-06 7.85116e-07 -1.39528e-07 1.09633e+05
4.72740e+02 1.00000e+00 5.59783e-01 0.00000e+00 6.51927e-01 3.30561e-02 1.71394e-03 1.09633e+05
2.07030e+03 1.00000e+00 1.97302e-05 0.00000e+00 2.10761e-05 4.82889e-06 -5.57972e-07 1.09633e+05
3.24110e+03 1.00000e+00 4.70341e-08 0.00000e+00 5.09460e-08 2.49757e-08 -3.26756e-09 1.09633e+05
1.05270e+03 1.00000e+00 6.41131e-03 0.00000e+00 7.77350e-03 7.12996e-04 -5.31590e-04 1.09633e+05
2.47170e+03 1.00000e+00 2.22419e-06 0.00000e+00 2.48623e-06 8.57558e-07 -2.83641e-08 1.09633e+05
1.36180e+03 1.00000e+00 9.96223e-04 0.00000e+00 1.10180e-03 9.58643e-05 3.08776e-05 1.09633e+05
1.73770e+03 1.00000e+00 1.17143e-04 0.00000e+00 1.36457e-04 1.98893e-05 3.40803e-06 1.09633e+05
4.14080e+02 1.00000e+00 1.00667e+00 0.00000e+00 1.22905e+00 5.39992e-02 2.90595e-02 1.09633e+05
2.46660e+03 1.00000e+00 2.44005e-06 0.00000e+00 2.53142e-06 9.16266e-07 -8.29516e-08 1.09633e+05
2.78130e+03 1.00000e+00 4.42609e-07 0.00000e+00 5.03593e-07 2.09486e-07 -6.33509e-08 1.09633e+05
2.43810e+03 1.00000e+00 2.67876e-06 0.00000e+00 2.99429e-06 9.68793e-07 1.27917e-08 1.09633e+05
9.87890e+02 1.00000e+00 1.01001e-02 0.00000e+00 1.22325e-02 8.58193e-04 -2.86827e-04 1.09633e+05
2.78950e+03 1.00000e+00 4.33028e-07 0.00000e+00 4.68179e-07 2.06150e-07 1.29069e-08 1.09633e+05
1.24840e+03 1.00000e+00 1.95841e-03 0.00000e+00 2.22918e-03 2.14892e-04 -5.16115e-05 1.09633e+05
4.67120e+02 1.00000e+00 5.86434e-01 0.00000e+00 6.90942e-01 3.28972e-02 -1.05608e-02 1.09633e+05
3.08470e+03 1.00000e+00 9.88759e-08 0.00000e+00 1.04436e-07 5.51415e-08 -5.79850e-09 1.09633e+05
1.24080e+03 1.00000e+00 2.05913e-03 0.00000e+00 2.34661e-03 1.92856e-04 7.92099e-05 1.09633e+05
3.06030e+03 1.00000e+00 1.13893e-07 0.00000e+00 1.21145e-07 6.00411e-08 -1.34586e-08 1.09633e+05
1.15990e+03 1.00000e+00 3.36895e-03 0.00000e+00 3.88790e-03 2.90735e-04 -3.90449e-05 1.09633e+05
3.52470e+02 1.00000e+00 2.03133e+00 0.00000e+00 2.47535e+00 1.14680e-01 6.02999e-02 1.09633e+05
2.16510e+03 1.00000e+00 1.16808e-05 0.00000e+00 1.24860e-05 3.03138e-06 -6.27747e-07 1.09633e+05
1.37150e+03 1.00000e+00 9.18321e-04 0.00000e+00 1.07226e-03 1.06012e-04 1.78332e-05 1.09633e+05
1.65650e+03 1.00000e+00 1.87477e-04 0.00000e+00 2.08293e-04 2.72234e-05 -2.22419e-06 1.09633e+05
3.17770e+03 1.00000e+00 6.20685e-08 0.00000e+00 6.86954e-08 3.39257e-08 -7.31270e-09 1.09633e+05
3.02390e+03 1.00000e+00 1.31178e-07 0.00000e+00 1.47727e-07 7.87397e-08 -7.99258e-09 1.09633e+05
2.94000e+03 1.00000e+00 1.88946e-07 0.00000e+00 2.23687e-07 1.10373e-07 -2.82935e-08 1.09633e+05
1.21320e+03 1.00000e+00 2.56077e-03 0.00000e+00 2.69205e-03 2.61110e-04 4.23034e-05 1.09633e+05
2.49680e+02 1.00000e+00 8.22649e+00 0.00000e+00 9.92235e+00 4.93999e-01 -3.99234e-01 1.09633e+05
1.67130e+03 1.00000e+00 1.72297e-04 0.00000e+00 1.90050e-04 2.45335e-05 1.05552e-05 1.09633e+05
9.37510e+02 1.00000e+00 1.39570e-02 0.00000e+00 1.69755e-02 1.14281e-03 1.51398e-04 1.09633e+05
