masses    LO_data    NLO_data
1.40000e+02 6.85054e+01 8.74456e+01
2.20000e+02 1.32579e+01 1.63198e+01
3.20000e+02 3.01360e+00 3.66973e+00
1.40000e+02 6.87451e+01 8.74130e+01
2.20000e+02 1.31319e+01 1.63367e+01
3.20000e+02 3.11207e+00 3.64169e+00
1.40000e+02 6.78202e+01 8.62984e+01
2.00000e+02 1.89919e+01 2.32242e+01
3.20000e+02 3.05345e+00 3.61429e+00
1.40000e+02 6.83446e+01 8.77465e+01
1.80000e+02 2.79361e+01 3.42582e+01
3.20000e+02 3.07879e+00 3.63457e+00
1.40000e+02 6.87949e+01 8.77511e+01
2.00000e+02 1.91304e+01 2.30629e+01
3.20000e+02 3.08598e+00 3.69160e+00
4.00000e+02 1.18572e+00 1.40135e+00
1.40000e+02 6.79298e+01 8.59021e+01
2.00000e+02 1.88060e+01 2.29650e+01
3.20000e+02 3.03323e+00 3.63907e+00
1.40000e+02 6.89177e+01 8.78055e+01
2.00000e+02 1.89791e+01 2.33205e+01
3.20000e+02 3.05805e+00 3.63556e+00
4.00000e+02 1.18257e+00 1.40129e+00
6.00000e+01 1.36031e+03 1.77014e+03
2.20000e+02 1.32405e+01 1.62665e+01
3.20000e+02 3.04626e+00 3.72875e+00
1.00000e+02 2.20370e+02 2.77690e+02
2.20000e+02 1.33068e+01 1.62801e+01
3.20000e+02 3.06983e+00 3.59830e+00
8.00000e+01 4.78125e+02 6.40227e+02
2.20000e+02 1.31411e+01 1.62004e+01
3.20000e+02 3.03802e+00 3.71129e+00
1.00000e+02 2.25015e+02 2.83947e+02
2.20000e+02 1.33538e+01 1.62749e+01
3.20000e+02 3.01768e+00 3.72876e+00
8.00000e+01 4.89182e+02 6.19274e+02
2.20000e+02 1.31953e+01 1.61429e+01
3.20000e+02 3.03219e+00 3.63265e+00
1.00000e+02 2.17785e+02 2.78741e+02
2.20000e+02 1.31310e+01 1.62292e+01
3.20000e+02 3.10563e+00 3.61213e+00
1.00000e+02 2.24452e+02 2.82493e+02
1.60000e+02 4.18384e+01 5.36042e+01
2.80000e+02 5.25166e+00 6.28889e+00
3.80000e+02 1.46419e+00 1.76991e+00
8.00000e+01 4.72740e+02 6.24279e+02
1.80000e+02 2.86527e+01 3.42123e+01
3.00000e+02 3.98574e+00 4.73282e+00
4.00000e+02 1.17339e+00 1.40945e+00
6.00000e+01 1.36985e+03 1.77128e+03
1.80000e+02 2.75365e+01 3.48372e+01
3.00000e+02 3.95403e+00 4.71813e+00
4.00000e+02 1.17849e+00 1.41084e+00
6.00000e+01 1.32932e+03 1.82665e+03
1.80000e+02 2.78310e+01 3.41660e+01
2.60000e+02 7.02422e+00 8.43241e+00
3.60000e+02 1.85862e+00 2.23231e+00
6.00000e+01 1.38759e+03 1.76110e+03
1.80000e+02 2.79900e+01 3.43062e+01
2.60000e+02 7.00172e+00 8.51831e+00
3.60000e+02 1.84326e+00 2.22199e+00
8.00000e+01 4.76457e+02 6.24033e+02
1.80000e+02 2.81492e+01 3.45578e+01
2.60000e+02 6.92323e+00 8.41308e+00
3.60000e+02 1.85375e+00 2.23122e+00
1.00000e+02 2.22258e+02 2.84932e+02
2.20000e+02 1.36173e+01 1.61018e+01
3.20000e+02 3.07434e+00 3.63985e+00
8.00000e+01 4.80916e+02 6.19970e+02
2.00000e+02 1.89298e+01 2.32355e+01
2.80000e+02 5.25600e+00 6.26231e+00
3.60000e+02 1.87086e+00 2.21370e+00
1.00000e+02 2.21650e+02 2.78365e+02
2.00000e+02 1.88033e+01 2.36938e+01
2.80000e+02 5.25384e+00 6.35321e+00
3.60000e+02 1.85763e+00 2.23754e+00
8.00000e+01 4.89291e+02 6.11804e+02
2.00000e+02 1.90817e+01 2.33447e+01
2.80000e+02 5.22623e+00 6.23824e+00
3.60000e+02 1.90018e+00 2.23090e+00
1.20000e+02 1.19374e+02 1.48327e+02
2.20000e+02 1.34582e+01 1.63981e+01
3.20000e+02 3.04547e+00 3.61129e+00
1.00000e+02 2.22676e+02 2.78350e+02
2.20000e+02 1.34324e+01 1.62190e+01
3.20000e+02 3.02466e+00 3.64223e+00
1.20000e+02 1.14600e+02 1.50844e+02
2.20000e+02 1.33444e+01 1.61578e+01
3.20000e+02 3.04622e+00 3.70651e+00
1.20000e+02 1.19661e+02 1.47930e+02
2.40000e+02 9.63551e+00 1.16024e+01
3.40000e+02 2.39971e+00 2.85358e+00
1.20000e+02 1.18193e+02 1.49608e+02
2.40000e+02 9.45643e+00 1.16733e+01
3.40000e+02 2.37023e+00 2.83094e+00
8.00000e+01 4.72632e+02 6.06948e+02
2.40000e+02 9.64634e+00 1.16406e+01
3.20000e+02 3.05582e+00 3.68933e+00
1.20000e+02 1.18138e+02 1.51232e+02
2.40000e+02 9.46807e+00 1.15533e+01
3.40000e+02 2.37736e+00 2.82791e+00
8.00000e+01 4.76829e+02 6.18900e+02
2.40000e+02 9.48593e+00 1.13939e+01
3.40000e+02 2.38960e+00 2.85374e+00
1.20000e+02 1.17006e+02 1.46317e+02
2.40000e+02 9.51084e+00 1.16948e+01
3.40000e+02 2.37936e+00 2.78920e+00
1.20000e+02 1.18778e+02 1.47281e+02
2.40000e+02 9.48775e+00 1.15415e+01
3.20000e+02 3.01569e+00 3.62786e+00
1.00000e+02 2.18939e+02 2.81806e+02
2.40000e+02 9.66504e+00 1.14887e+01
3.40000e+02 2.38306e+00 2.82718e+00
1.00000e+02 2.20926e+02 2.81354e+02
2.40000e+02 9.64645e+00 1.15607e+01
3.40000e+02 2.36757e+00 2.85122e+00
1.20000e+02 1.17040e+02 1.49455e+02
