masses      stau_mix      LO_data      NLO_data      NLO_err      Alpha_err      time_elapsed
8.29210e+02 9.99980e-01 2.92479e-02 3.28380e-02 2.01090e-03 6.35378e-04 9.32371e+04
2.58660e+03 9.99840e-01 1.21814e-06 1.33329e-06 5.08550e-07 -8.62598e-08 9.32371e+04
1.85210e+03 -2.32180e-03 2.67496e-05 3.13843e-05 5.17568e-06 1.08407e-08 9.32371e+04
5.48240e+02 1.00000e+00 2.69715e-01 3.20954e-01 1.22898e-02 8.33672e-04 9.32371e+04
4.63250e+02 9.99950e-01 6.08729e-01 7.32636e-01 2.79739e-02 2.10096e-02 9.32371e+04
1.94490e+03 9.99960e-01 3.77674e-05 4.24905e-05 7.89384e-06 7.06698e-07 9.32371e+04
1.93200e+03 1.00000e+00 4.01562e-05 4.45426e-05 8.32592e-06 -8.50833e-08 9.32371e+04
1.67110e+03 9.99970e-01 1.78310e-04 1.94013e-04 2.34815e-05 -2.19849e-06 9.32371e+04
3.46130e+02 9.99960e-01 2.21033e+00 2.62074e+00 1.15604e-01 5.61421e-02 9.32371e+04
1.90550e+03 9.99810e-01 4.85328e-05 5.45511e-05 8.81606e-06 -2.04648e-06 9.32371e+04
8.29760e+02 1.28450e-01 1.21585e-02 1.45050e-02 8.14702e-04 -7.59503e-04 9.32371e+04
9.66340e+02 -3.96330e-03 4.56395e-03 5.46221e-03 3.61887e-04 9.05773e-05 9.32371e+04
2.23520e+03 -4.62400e-03 3.51092e-06 3.87231e-06 1.08970e-06 -1.25035e-07 9.32371e+04
1.98170e+03 9.99920e-01 3.10128e-05 3.40854e-05 7.05371e-06 1.31235e-06 9.32371e+04
7.59400e+02 -1.23040e-01 1.89966e-02 2.30288e-02 1.40738e-03 6.58788e-04 9.32371e+04
1.30580e+03 9.99960e-01 1.34333e-03 1.59989e-03 1.31096e-04 -6.92150e-05 9.32371e+04
2.25310e+03 -2.63470e-02 3.13408e-06 3.48269e-06 9.41280e-07 8.78142e-08 9.32371e+04
1.53150e+03 9.99960e-01 3.87658e-04 4.31201e-04 4.24708e-05 6.94546e-06 9.32371e+04
1.47830e+03 9.99970e-01 5.11633e-04 5.79652e-04 5.74596e-05 9.33722e-07 9.32371e+04
6.51900e+02 9.99970e-01 1.17111e-01 1.33280e-01 5.69352e-03 -4.71758e-04 9.32371e+04
1.71200e+02 9.79190e-01 3.06521e+01 3.90296e+01 1.29518e+00 1.82809e+00 9.32371e+04
1.40230e+03 -1.10010e-02 3.31985e-04 3.69948e-04 3.77973e-05 2.37652e-07 9.32371e+04
6.07780e+02 7.18500e-04 6.50479e-02 7.38992e-02 3.52077e-03 -1.65928e-04 9.32371e+04
2.64380e+03 9.99810e-01 8.97613e-07 9.87413e-07 4.08036e-07 -3.68547e-08 9.32371e+04
2.03250e+03 -4.71510e-04 1.01558e-05 1.12923e-05 2.42282e-06 -1.24890e-07 9.32371e+04
2.69030e+03 2.13950e-03 3.16991e-07 3.49582e-07 1.61830e-07 -3.50951e-09 9.32371e+04
5.26590e+02 2.67160e-02 1.30008e-01 1.53299e-01 6.74349e-03 -2.45068e-03 9.32371e+04
2.52890e+03 9.99230e-01 1.70907e-06 1.80465e-06 6.37274e-07 -8.74644e-08 9.32371e+04
3.82190e+02 9.99980e-01 1.44604e+00 1.68299e+00 6.14293e-02 6.17570e-02 9.32371e+04
1.36500e+03 1.00000e+00 9.60657e-04 1.11708e-03 1.05863e-04 4.98211e-05 9.32371e+04
2.51930e+03 9.99960e-01 1.77620e-06 1.84958e-06 7.06625e-07 -7.18775e-08 9.32371e+04
5.48140e+02 8.29920e-03 1.07166e-01 1.27831e-01 6.11621e-03 -5.69697e-03 9.32371e+04
1.34860e+03 9.95030e-01 1.07860e-03 1.17568e-03 1.09004e-04 -1.60011e-05 9.32371e+04
6.73930e+02 9.99970e-01 9.35907e-02 1.08235e-01 4.66091e-03 -1.14198e-03 9.32371e+04
8.75260e+02 1.09580e-03 8.93228e-03 1.00932e-02 6.05394e-04 -4.97096e-05 9.32371e+04
2.07630e+03 1.00000e+00 1.88367e-05 2.03702e-05 4.71799e-06 -1.78355e-07 9.32371e+04
2.02080e+03 -4.13860e-02 1.11816e-05 1.22081e-05 2.57780e-06 -3.54547e-08 9.32371e+04
7.24360e+02 1.00000e+00 6.33153e-02 7.07450e-02 3.96878e-03 -2.81260e-04 9.32371e+04
6.87610e+02 -8.57590e-03 3.29276e-02 3.88414e-02 2.26896e-03 -1.33029e-03 9.32371e+04
1.27080e+03 9.99960e-01 1.72166e-03 1.97995e-03 1.66101e-04 -8.41387e-05 9.32371e+04
5.91930e+02 5.80360e-02 7.54192e-02 8.79133e-02 3.92721e-03 -2.59070e-03 9.32371e+04
1.19820e+03 -2.76230e-03 1.08326e-03 1.23900e-03 1.12918e-04 3.44275e-05 9.32371e+04
1.30360e+03 -2.26090e-03 5.85881e-04 6.53473e-04 5.65428e-05 1.74325e-06 9.32371e+04
1.08710e+03 9.99950e-01 5.10993e-03 5.95085e-03 3.97295e-04 7.02784e-05 9.32371e+04
2.70720e+03 -1.05830e-02 2.92209e-07 3.18504e-07 1.64625e-07 -9.45641e-09 9.32371e+04
1.01800e+03 5.91640e-02 3.34296e-03 3.85321e-03 2.83273e-04 1.86924e-04 9.32371e+04
5.75290e+02 5.66740e-03 8.82389e-02 9.98024e-02 4.55578e-03 -3.09616e-03 9.32371e+04
1.80780e+03 9.99980e-01 7.93562e-05 8.60919e-05 1.38506e-05 -1.84929e-07 9.32371e+04
1.35270e+03 9.99790e-01 1.01122e-03 1.19699e-03 1.12099e-04 7.01687e-05 9.32371e+04
1.93910e+03 1.00000e+00 3.88616e-05 4.40941e-05 7.68408e-06 -9.58434e-07 9.32371e+04
1.75360e+03 2.51530e-02 4.61243e-05 5.31141e-05 7.19859e-06 -9.55399e-08 9.32371e+04
1.59630e+03 -2.69460e-03 1.09662e-04 1.15934e-04 1.51044e-05 -4.76602e-06 9.32371e+04
2.95600e+03 -7.19530e-03 8.21619e-08 9.20882e-08 5.10621e-08 -5.95778e-09 9.32371e+04
5.08710e+02 -3.38130e-03 1.58275e-01 1.81936e-01 7.88643e-03 -2.34183e-03 9.32371e+04
1.68610e+03 9.99990e-01 1.59002e-04 1.75527e-04 2.23633e-05 -3.58039e-06 9.32371e+04
1.21730e+03 -1.14320e-02 9.77536e-04 1.09462e-03 8.93215e-05 -2.45416e-06 9.32371e+04
8.96180e+02 9.99950e-01 1.91989e-02 2.15630e-02 1.26263e-03 7.34903e-04 9.32371e+04
2.34590e+03 1.00000e+00 4.52366e-06 4.97076e-06 1.48348e-06 -9.90932e-08 9.32371e+04
2.20510e+03 1.17160e-02 4.03798e-06 4.42352e-06 1.18540e-06 -1.15077e-07 9.32371e+04
8.53330e+02 1.00000e+00 2.58794e-02 2.78262e-02 1.64224e-03 -5.56486e-04 9.32371e+04
1.14950e+03 -3.86020e-03 1.51144e-03 1.69898e-03 1.14427e-04 -1.32506e-05 9.32371e+04
1.94610e+03 9.99650e-01 3.83316e-05 4.37264e-05 7.66519e-06 -1.77283e-06 9.32371e+04
2.73850e+02 2.40730e-04 2.21012e+00 2.65635e+00 1.01962e-01 4.73656e-03 9.32371e+04
2.49310e+03 -2.13300e-01 8.56809e-07 9.45109e-07 3.71790e-07 -1.83377e-08 9.32371e+04
1.60390e+03 9.99980e-01 2.53606e-04 2.81322e-04 3.66474e-05 2.47608e-06 9.32371e+04
4.67800e+02 4.25460e-04 2.41144e-01 2.65959e-01 1.20868e-02 -5.05144e-03 9.32371e+04
1.38580e+03 9.80240e-01 8.34924e-04 9.52722e-04 8.63448e-05 -1.04599e-05 9.32371e+04
4.71630e+02 -3.35580e-03 2.14494e-01 2.62450e-01 1.06675e-02 -3.47985e-03 9.32371e+04
1.51460e+03 9.99870e-01 4.13055e-04 4.64060e-04 5.19168e-05 -1.59442e-05 9.32371e+04
2.18850e+03 9.99990e-01 9.93866e-06 1.14920e-05 2.75691e-06 -2.19185e-07 9.32371e+04
1.62200e+03 -7.48150e-03 9.68029e-05 1.07277e-04 1.40588e-05 5.29925e-07 9.32371e+04
