masses    LO_data    NLO_data
1.40000e+02 3.83107e+01 4.79388e+01
2.20000e+02 1.30219e+01 1.61860e+01
3.20000e+02 2.09611e+00 2.52185e+00
1.40000e+02 2.68036e+01 3.33777e+01
2.20000e+02 7.57508e+00 9.39407e+00
3.20000e+02 1.12774e+00 1.35276e+00
1.40000e+02 6.59777e+01 8.36755e+01
2.00000e+02 1.71430e+01 2.10871e+01
3.20000e+02 1.25310e+00 1.49933e+00
1.40000e+02 6.87262e+01 8.67015e+01
1.80000e+02 2.73365e+01 3.37413e+01
3.20000e+02 2.49630e+00 2.93455e+00
1.40000e+02 5.51614e+01 6.84593e+01
2.00000e+02 6.90059e+00 8.42061e+00
3.20000e+02 2.75560e+00 3.34059e+00
4.00000e+02 4.50285e-01 5.36300e-01
1.40000e+02 6.21237e+01 7.84724e+01
2.00000e+02 1.07004e+01 1.32558e+01
3.20000e+02 1.13317e+00 1.35022e+00
1.40000e+02 3.11552e+01 3.99825e+01
2.00000e+02 1.85819e+01 2.32916e+01
3.20000e+02 2.10957e+00 2.54145e+00
4.00000e+02 5.03210e-01 5.93147e-01
6.00000e+01 4.97536e+02 6.62408e+02
2.20000e+02 1.19732e+01 1.46932e+01
3.20000e+02 1.15006e+00 1.35875e+00
1.00000e+02 1.18609e+02 1.57579e+02
2.20000e+02 9.16581e+00 1.11175e+01
3.20000e+02 2.96387e+00 3.52947e+00
8.00000e+01 1.47204e+02 1.98683e+02
2.20000e+02 6.28206e+00 7.81070e+00
3.20000e+02 1.25880e+00 1.48067e+00
1.00000e+02 1.69950e+02 2.22770e+02
2.20000e+02 5.40420e+00 6.52738e+00
3.20000e+02 2.43842e+00 2.93124e+00
8.00000e+01 2.45838e+02 3.24200e+02
2.20000e+02 1.07329e+01 1.30194e+01
3.20000e+02 2.76719e+00 3.33405e+00
1.00000e+02 1.50822e+02 1.88205e+02
2.20000e+02 6.43640e+00 7.70786e+00
3.20000e+02 3.02499e+00 3.68521e+00
1.00000e+02 2.20238e+02 2.87152e+02
1.60000e+02 2.89900e+01 3.67030e+01
2.80000e+02 1.88686e+00 2.33288e+00
3.80000e+02 1.48307e+00 1.71452e+00
8.00000e+01 3.63965e+02 4.96495e+02
1.80000e+02 2.26707e+01 2.78230e+01
3.00000e+02 3.58780e+00 4.32129e+00
4.00000e+02 1.15458e+00 1.38461e+00
6.00000e+01 6.58666e+02 8.60407e+02
1.80000e+02 2.52800e+01 3.10583e+01
3.00000e+02 3.24201e+00 3.87050e+00
4.00000e+02 1.06622e+00 1.26340e+00
6.00000e+01 3.98203e+02 5.33896e+02
1.80000e+02 1.90304e+01 2.32530e+01
2.60000e+02 6.88237e+00 8.27271e+00
3.60000e+02 7.77183e-01 9.24206e-01
6.00000e+01 3.63853e+02 4.65584e+02
1.80000e+02 2.53714e+01 3.11637e+01
