masses      stau_mix      LO_data      NLO_data      NLO_err      Alpha_err
2.98360e+03 1.39173e-01 7.19796e-08 7.85346e-08 4.95503e-08 -6.47160e-09
3.27440e+03 1.39173e-01 1.75007e-08 1.96218e-08 1.17151e-08 -1.83769e-09
3.26980e+03 1.39173e-01 1.77821e-08 1.99422e-08 1.34447e-08 -1.62505e-09
2.34480e+03 1.39173e-01 2.00826e-06 2.18657e-06 6.56973e-07 -3.07083e-08
2.39940e+03 1.39173e-01 1.44362e-06 1.63012e-06 5.07743e-07 -4.32601e-08
3.31460e+03 1.39173e-01 1.45719e-08 1.62608e-08 1.13133e-08 -1.66832e-09
2.40940e+03 1.39173e-01 1.39883e-06 1.51157e-06 5.14378e-07 -2.48695e-08
3.35370e+03 1.39173e-01 1.22461e-08 1.37275e-08 9.29197e-09 -1.36953e-09
3.30300e+03 1.39173e-01 1.55858e-08 1.73192e-08 1.18160e-08 -1.17310e-09
3.02210e+03 1.39173e-01 5.94702e-08 6.66594e-08 4.16836e-08 -3.10376e-09
1.33580e+03 1.39173e-01 4.82904e-04 5.45784e-04 5.08429e-05 -8.73353e-06
1.65920e+03 1.39173e-01 7.90470e-05 8.35973e-05 1.26598e-05 1.99299e-06
2.78980e+03 1.39173e-01 1.88680e-07 2.12943e-07 1.14845e-07 -7.83897e-09
3.22060e+03 1.39173e-01 2.24184e-08 2.50013e-08 1.56958e-08 -2.25804e-09
1.36650e+03 1.39173e-01 3.92028e-04 4.38934e-04 3.99797e-05 -1.78551e-05
3.02870e+03 1.39173e-01 5.95974e-08 6.30510e-08 4.17730e-08 -4.65013e-09
2.34950e+03 1.39173e-01 1.79308e-06 2.08058e-06 6.18845e-07 -3.73662e-08
2.81800e+03 1.39173e-01 1.63764e-07 1.82552e-07 1.03373e-07 -3.09887e-09
3.31200e+03 1.39173e-01 1.49827e-08 1.66082e-08 1.02174e-08 -1.89795e-09
1.35440e+03 1.39173e-01 4.25524e-04 4.76266e-04 4.13499e-05 8.36549e-07
6.23030e+02 1.39173e-01 5.67048e-02 6.60415e-02 2.77912e-03 -1.17597e-03
