masses    LO_data    NLO_data
1.90000e+02 6.25000e-01 1.21192e+01 1.14554e+01
2.20000e+02 1.25000e-01 1.30165e+01 6.99820e+00
3.70000e+02 5.00000e-01 1.12051e+00 7.65118e-01
1.90000e+02 8.75000e-01 8.05166e+00 1.84777e+01
3.70000e+02 6.25000e-01 9.03364e-01 8.20860e-01
4.70000e+02 1.00000e+00 2.26386e-01 6.53083e-01
2.90000e+02 1.25000e-01 4.33177e+00 2.32679e+00
3.00000e+02 2.50000e-01 3.53107e+00 1.96435e+00
3.20000e+02 8.75000e-01 1.10211e+00 2.46170e+00
2.40000e+02 6.12323e-17 9.58208e+00 4.83118e+00
3.30000e+02 1.25000e-01 2.60310e+00 1.35181e+00
3.20000e+02 3.75000e-01 2.41650e+00 1.43226e+00
2.40000e+02 3.75000e-01 7.47073e+00 4.56729e+00
2.50000e+02 1.00000e+00 3.12045e+00 9.37929e+00
3.20000e+02 2.50000e-01 2.74187e+00 1.48570e+00
5.50000e+02 1.00000e+00 1.05691e-01 3.08154e-01
2.90000e+02 2.50000e-01 4.03586e+00 2.23288e+00
2.50000e+02 6.25000e-01 4.30480e+00 4.05041e+00
3.20000e+02 1.00000e+00 1.17815e+00 3.51117e+00
1.90000e+02 7.50000e-01 9.42998e+00 1.37311e+01
3.00000e+02 6.12323e-17 3.96765e+00 2.04288e+00
3.20000e+02 5.00000e-01 2.01772e+00 1.42384e+00
5.50000e+02 8.75000e-01 9.81919e-02 2.16401e-01
2.10000e+02 7.50000e-01 6.59566e+00 9.52793e+00
3.70000e+02 2.50000e-01 1.49414e+00 8.15988e-01
4.20000e+02 1.00000e+00 3.76422e-01 1.08145e+00
2.00000e+02 6.25000e-01 9.95216e+00 9.33418e+00
3.70000e+02 5.00000e-01 1.11327e+00 7.50119e-01
4.70000e+02 1.25000e-01 5.56444e-01 2.87790e-01
1.30000e+02 1.00000e+00 3.35668e+01 1.04589e+02
3.20000e+02 7.50000e-01 1.29614e+00 1.82220e+00
4.20000e+02 8.75000e-01 3.51155e-01 7.48144e-01
2.50000e+02 3.75000e-01 6.53588e+00 3.85918e+00
3.70000e+02 8.75000e-01 6.06667e-01 1.31220e+00
4.70000e+02 3.75000e-01 4.63467e-01 2.68179e-01
1.30000e+02 6.25000e-01 4.50711e+01 4.31426e+01
3.70000e+02 3.75000e-01 1.33004e+00 7.78914e-01
4.70000e+02 2.50000e-01 5.17485e-01 2.77491e-01
2.50000e+02 5.00000e-01 5.42384e+00 3.76398e+00
3.70000e+02 7.50000e-01 7.01622e-01 9.81613e-01
4.70000e+02 6.12323e-17 5.71899e-01 2.92949e-01
1.50000e+02 6.12323e-17 5.35324e+01 2.82555e+01
3.10000e+02 5.00000e-01 2.31968e+00 1.61831e+00
4.30000e+02 1.00000e+00 3.38062e-01 9.86709e-01
5.30000e+02 6.12323e-17 3.24543e-01 1.62260e-01
2.30000e+02 3.75000e-01 8.94168e+00 5.26343e+00
2.30000e+02 3.75000e-01 9.02499e+00 5.30379e+00
3.00000e+02 2.50000e-01 3.61653e+00 1.95328e+00
4.00000e+02 1.25000e-01 1.15140e+00 6.04121e-01
2.10000e+02 6.25000e-01 8.37171e+00 7.93567e+00
2.30000e+02 2.50000e-01 1.01564e+01 5.57722e+00
3.50000e+02 3.75000e-01 1.67847e+00 9.78264e-01
4.00000e+02 2.50000e-01 1.07295e+00 5.82796e-01
1.60000e+02 8.75000e-01 1.47774e+01 3.47466e+01
2.80000e+02 5.00000e-01 3.42784e+00 2.41630e+00
4.10000e+02 1.25000e-01 1.02431e+00 5.34706e-01
5.10000e+02 8.75000e-01 1.42127e-01 3.03856e-01
2.10000e+02 1.00000e+00 5.96954e+00 1.88206e+01
1.80000e+02 2.50000e-01 2.54434e+01 1.41798e+01
3.10000e+02 6.25000e-01 1.86060e+00 1.69197e+00
4.10000e+02 1.25000e-01 1.03023e+00 5.33709e-01
1.30000e+02 6.12323e-17 8.96503e+01 4.80999e+01
2.30000e+02 6.25000e-01 5.95983e+00 5.61655e+00
4.10000e+02 6.12323e-17 1.05592e+00 5.37755e-01
3.60000e+02 1.25000e-01 1.83401e+00 9.47360e-01
1.50000e+02 2.50000e-01 4.78785e+01 2.69494e+01
3.70000e+02 1.00000e+00 6.46650e-01 1.87714e+00
4.70000e+02 7.50000e-01 2.44228e-01 3.39715e-01
1.30000e+02 8.75000e-01 2.98303e+01 7.28392e+01
2.00000e+02 2.50000e-01 1.71809e+01 9.58502e+00
2.80000e+02 5.00000e-01 3.55410e+00 2.44229e+00
5.10000e+02 6.25000e-01 2.14817e-01 1.91128e-01
1.00000e+02 2.50000e-01 1.98226e+02 1.13577e+02
3.00000e+02 8.75000e-01 1.42587e+00 3.13440e+00
3.30000e+02 1.00000e+00 1.04408e+00 3.02843e+00
4.60000e+02 5.00000e-01 4.28308e-01 2.96373e-01
1.80000e+02 6.25000e-01 1.50623e+01 1.38265e+01
2.00000e+02 6.25000e-01 9.94520e+00 9.54308e+00
2.80000e+02 8.75000e-01 1.89226e+00 4.15162e+00
5.10000e+02 7.50000e-01 1.69754e-01 2.29140e-01
2.20000e+02 3.75000e-01 1.06497e+01 6.28183e+00
3.20000e+02 1.00000e+00 1.16976e+00 3.51544e+00
3.70000e+02 8.75000e-01 5.97159e-01 1.31789e+00
1.50000e+02 6.25000e-01 2.82124e+01 2.68223e+01
3.70000e+02 1.25000e-01 1.61671e+00 8.39880e-01
4.20000e+02 2.50000e-01 8.54077e-01 4.63054e-01
2.70000e+02 1.25000e-01 5.87563e+00 3.08987e+00
3.20000e+02 8.75000e-01 1.11087e+00 2.45250e+00
4.20000e+02 6.12323e-17 9.67198e-01 4.91150e-01
1.20000e+02 8.75000e-01 3.84800e+01 9.46814e+01
2.40000e+02 3.75000e-01 7.59039e+00 4.61238e+00
3.40000e+02 6.12323e-17 2.38950e+00 1.24770e+00
