#_PDFs      time_elapsed
1 3.21757e+00
2 4.60624e+00
3 5.95910e+00
4 7.53299e+00
5 9.05036e+00
6 1.05539e+01
7 1.20648e+01
8 1.34371e+01
9 1.48006e+01
10 1.62096e+01
11 1.78404e+01
12 1.92401e+01
13 2.09693e+01
14 2.25979e+01
15 2.39832e+01
16 2.53594e+01
17 2.68536e+01
18 2.84420e+01
19 2.98213e+01
20 3.12858e+01
21 3.27317e+01
22 3.42272e+01
23 3.56249e+01
24 3.71420e+01
25 3.86091e+01
26 4.00949e+01
27 4.15054e+01
28 4.30209e+01
29 4.48671e+01
30 4.64438e+01
31 4.79054e+01
32 4.93196e+01
33 5.07826e+01
34 5.22396e+01
35 5.36979e+01
36 5.51931e+01
37 5.66590e+01
38 5.80584e+01
39 5.94132e+01
40 6.09448e+01
41 6.28348e+01
42 6.45944e+01
43 6.60315e+01
44 6.80416e+01
45 6.97495e+01
46 7.12635e+01
47 7.26703e+01
48 7.41425e+01
49 7.55709e+01
50 7.69799e+01
51 7.83799e+01
52 7.98263e+01
53 8.11932e+01
54 8.26850e+01
55 8.41214e+01
56 8.55342e+01
57 8.73067e+01
58 8.92330e+01
59 9.09395e+01
60 9.25790e+01
61 9.39552e+01
62 9.56859e+01
63 9.71133e+01
64 9.85526e+01
65 1.00083e+02
66 1.01692e+02
67 1.03332e+02
68 1.04999e+02
69 1.06570e+02
70 1.07972e+02
71 1.09461e+02
72 1.10815e+02
73 1.12306e+02
74 1.13907e+02
75 1.15429e+02
76 1.16929e+02
77 1.18327e+02
78 1.19694e+02
79 1.21149e+02
80 1.22615e+02
81 1.24002e+02
82 1.25412e+02
83 1.26863e+02
84 1.28277e+02
85 1.29703e+02
86 1.31113e+02
87 1.32824e+02
88 1.34532e+02
89 1.35967e+02
90 1.37388e+02
91 1.38798e+02
92 1.40204e+02
93 1.41750e+02
94 1.43284e+02
95 1.44772e+02
96 1.46238e+02
97 1.47710e+02
98 1.49201e+02
99 1.50665e+02
100 1.52113e+02
101 1.53593e+02
102 1.54990e+02
103 1.56438e+02
104 1.56442e+02
