#_PDFs      time_elapsed
1 3.68258e+00
2 5.54431e+00
3 7.11423e+00
4 8.70616e+00
5 1.02816e+01
6 1.18048e+01
7 1.33485e+01
8 1.49082e+01
9 1.64586e+01
10 1.79611e+01
11 1.94652e+01
12 2.09955e+01
13 2.25222e+01
14 2.43385e+01
15 2.60058e+01
16 2.76398e+01
17 2.95101e+01
18 3.11495e+01
19 3.27227e+01
20 3.42899e+01
21 3.58114e+01
22 3.73105e+01
23 3.88947e+01
24 4.04036e+01
25 4.19252e+01
26 4.34860e+01
27 4.50777e+01
28 4.66555e+01
29 4.81874e+01
30 4.97380e+01
31 5.13184e+01
32 5.28701e+01
33 5.44492e+01
34 5.59853e+01
35 5.75475e+01
36 5.91157e+01
37 6.06508e+01
38 6.23781e+01
39 6.48520e+01
40 6.65431e+01
41 6.81295e+01
42 6.97554e+01
43 7.13613e+01
44 7.29505e+01
45 7.44877e+01
46 7.59996e+01
47 7.75897e+01
48 7.91221e+01
49 8.06865e+01
50 8.21899e+01
51 8.37102e+01
52 8.52629e+01
53 8.68262e+01
54 8.83937e+01
55 8.99150e+01
56 9.14467e+01
57 9.29697e+01
58 9.44858e+01
59 9.60563e+01
60 9.76493e+01
61 9.92489e+01
62 1.00823e+02
63 1.02392e+02
64 1.03920e+02
65 1.05505e+02
66 1.07088e+02
67 1.08661e+02
68 1.10214e+02
69 1.11776e+02
70 1.13353e+02
71 1.14874e+02
72 1.16434e+02
73 1.17992e+02
74 1.19583e+02
75 1.21157e+02
76 1.22746e+02
77 1.24356e+02
78 1.25925e+02
79 1.27506e+02
80 1.29037e+02
81 1.30597e+02
82 1.32113e+02
83 1.33677e+02
84 1.35243e+02
85 1.36827e+02
86 1.38398e+02
87 1.40004e+02
88 1.41526e+02
89 1.43119e+02
90 1.44770e+02
91 1.46341e+02
92 1.47915e+02
93 1.49432e+02
94 1.50967e+02
95 1.52493e+02
96 1.54092e+02
97 1.55619e+02
98 1.57209e+02
99 1.58789e+02
100 1.60307e+02
101 1.61885e+02
102 1.63459e+02
103 1.65034e+02
104 1.65039e+02
